com.samsung.health.food_intake,6060029,4
amount,food_info_id,create_time,time_offset,meal_type,custom,deviceuuid,start_time,pkg_name,update_time,unit,datauuid,name,calorie,comment
,meal_auto_filled,2018-06-10 18:04:19.876,UTC-0300,100001,,79R9GKyaj4,2018-06-10 13:00:00.000,com.sec.android.app.shealth,2018-06-10 18:04:19.876,,3112c6fd-0573-45c6-a7e5-c7bcd1299847,,766.0,
,meal_auto_filled,2018-06-10 18:04:19.909,UTC-0300,100002,,79R9GKyaj4,2018-06-10 18:00:00.000,com.sec.android.app.shealth,2018-06-10 18:04:19.909,,e9d81a8f-07b2-4c76-a998-876468ec0407,,765.0,
2.0,1030e29a-45a2-46c5-b82c-b47695439194,2019-07-09 14:28:45.730,UTC-0300,100001,,79R9GKyaj4,2019-07-09 12:30:55.604,com.sec.android.app.shealth,2019-07-09 14:28:45.730,120001,3b589bce-e929-4ca6-8c1f-cbbe14eb6b2a,Instant Oatmeal - Apples & Cinnamon (35g)(Quaker),260.0,
1.5,3f494954-3710-440d-b8bb-8bcc4a7a1253,2019-07-09 15:49:10.107,UTC-0300,100002,,79R9GKyaj4,2019-07-09 15:48:13.293,com.sec.android.app.shealth,2019-07-09 15:49:10.107,120001,a1875966-e5ba-4414-827d-649117827fa7,Pad Thai,535.5,
1.0,080f9d90-9df2-46c6-a1dd-f0beb096a61e,2019-07-09 17:09:15.905,UTC-0300,100005,,79R9GKyaj4,2019-07-09 17:08:40.985,com.sec.android.app.shealth,2019-07-09 17:09:15.905,120001,e50cbcd1-0e56-4e4e-ac7d-cb44d0838f9d,Fruit Snacks Mixed Fruit (14g)(Welch's),45.0,
3.0,d126f1db-c499-4d90-b192-ba2ad09cc505,2019-07-09 22:59:55.909,UTC-0300,100003,,79R9GKyaj4,2019-07-09 22:57:15.095,com.sec.android.app.shealth,2019-07-09 22:59:55.909,120001,4cfde9b8-db51-4fc2-9c99-1da0b90a94ab,Caesar Salad with Romaine,552.0,
1.0,bf253a11-22c5-483a-90ad-84b3ada09bc7,2019-07-09 22:59:55.909,UTC-0300,100003,,79R9GKyaj4,2019-07-09 22:57:15.095,com.sec.android.app.shealth,2019-07-09 22:59:55.909,120001,b5685946-3655-467a-a827-33c3b2c6dc6d,Avocado,322.0,
1.0,83dc8aa8-8d02-4ab2-83f0-dd8fc222496a,2019-07-09 22:59:55.909,UTC-0300,100003,,79R9GKyaj4,2019-07-09 22:57:15.095,com.sec.android.app.shealth,2019-07-09 22:59:55.909,120001,d4aa23ed-edb0-4eed-8973-0a27264393af,Flour Tortilla,41.0,
3.0,f740781b-a236-4832-b3c4-883515920920,2019-07-09 22:59:55.910,UTC-0300,100003,,79R9GKyaj4,2019-07-09 22:57:15.095,com.sec.android.app.shealth,2019-07-09 22:59:55.910,120001,e7330320-0108-44e9-ac73-3327ccd7a056,Sirloin Tip Steak(Great Value),480.0,
1.0,0b7a268d-a3d6-4f0b-8b40-ccc800f23f97,2019-07-09 22:59:55.910,UTC-0300,100003,,79R9GKyaj4,2019-07-09 22:57:15.095,com.sec.android.app.shealth,2019-07-09 22:59:55.910,120001,fe6a4203-a2d3-4076-97e9-d162182dd05e,Beer,155.0,
1.0,c69dffc7-c970-4eae-9f51-fb9b22e39923,2019-07-09 22:59:55.910,UTC-0300,100003,,79R9GKyaj4,2019-07-09 22:57:15.095,com.sec.android.app.shealth,2019-07-09 22:59:55.910,120001,b34cc91e-3495-4544-9a6d-c55d456ff638,IPA Beer(Goose Island),206.0,
1.0,f6a8367c-1bef-403b-a849-5b5e9b108db1,2019-07-09 23:51:00.245,UTC-0300,100006,,79R9GKyaj4,2019-07-09 23:50:39.731,com.sec.android.app.shealth,2019-07-09 23:51:00.245,120001,6d05e82b-33fd-4d68-a27d-3307eb3ef223,Boston Cream Pie Cake,232.0,
2.0,e363a40b-588b-4a63-bf2c-107d8403b1df,2019-07-10 12:48:12.734,UTC-0300,100001,,79R9GKyaj4,2019-07-10 12:47:05.577,com.sec.android.app.shealth,2019-07-10 12:48:12.734,120001,5c8cfddd-b4c1-4611-8f06-7d4d1d7953b8,Coffee with Cream,52.0,
1.0,1030e29a-45a2-46c5-b82c-b47695439194,2019-07-10 12:48:12.735,UTC-0300,100001,,79R9GKyaj4,2019-07-10 12:47:05.577,com.sec.android.app.shealth,2019-07-10 12:48:12.735,120001,c335b25a-0c7e-476b-8d29-82e5a8778d6b,Instant Oatmeal - Apples & Cinnamon (35g)(Quaker),130.0,
1.5,003f3227-cbd1-4d8e-b0a1-aed32f9ca716,2019-07-10 16:28:27.997,UTC-0300,100002,,79R9GKyaj4,2019-07-10 16:25:45.812,com.sec.android.app.shealth,2019-07-10 16:28:27.997,120001,2b384d0c-8eeb-44fb-a863-69f005d8e0f7,Mushroom Pepperoni Sausage Pizza (Kidâ€™s)(California Pizza Kitchen),786.0,
1.0,f8531bd8-5735-4de6-a9de-1ede290d6ef4,2019-07-10 16:28:27.998,UTC-0300,100002,,79R9GKyaj4,2019-07-10 16:25:45.812,com.sec.android.app.shealth,2019-07-10 16:28:27.998,120001,e4169d01-4464-4641-9cf7-c88d83500d50,Mediterranean Salad (Half)(California Pizza Kitchen),555.0,
2.0,cdf23359-5c8e-49f2-9ab2-d95566ee753e,2019-07-10 16:28:27.998,UTC-0300,100002,,79R9GKyaj4,2019-07-10 16:25:45.812,com.sec.android.app.shealth,2019-07-10 16:28:27.998,120001,511187db-3ee6-4877-a4ee-ea677d07fd6d,Lemonade,198.0,
1.0,e363a40b-588b-4a63-bf2c-107d8403b1df,2019-07-11 15:40:06.364,UTC-0300,100001,,79R9GKyaj4,2019-07-11 12:39:28.258,com.sec.android.app.shealth,2019-07-11 15:40:06.364,120001,92151ba5-583c-4b3d-bd70-8be6b166043d,Coffee with Cream,26.0,
1.0,1030e29a-45a2-46c5-b82c-b47695439194,2019-07-11 15:40:06.364,UTC-0300,100001,,79R9GKyaj4,2019-07-11 12:39:28.258,com.sec.android.app.shealth,2019-07-11 15:40:06.364,120001,22a7f7cb-9d14-4c97-9f86-4362339f06b5,Instant Oatmeal - Apples & Cinnamon (35g)(Quaker),130.0,
2.0,8c51ef12-4816-4a60-9677-0819c558557d,2019-07-11 17:02:24.553,UTC-0300,100002,,79R9GKyaj4,2019-07-11 17:01:04.279,com.sec.android.app.shealth,2019-07-12 01:23:59.183,120001,8c4746a7-bc40-45c5-8a60-063300eb6e92,Lollipop(Dum Dum),120.0,
1.0,6a530bc0-926a-4a62-a3fe-ccd7ce10dcf2,2019-07-11 17:02:24.553,UTC-0300,100002,,79R9GKyaj4,2019-07-11 17:01:04.279,com.sec.android.app.shealth,2019-07-12 01:23:59.202,120001,ce20a7e6-99b7-4296-8ea7-39153f2328ce,Cooked Spinach (from Fresh),74.0,
1.0,69b50b13-c6c1-493f-ad12-773e2767e16b,2019-07-11 17:02:24.553,UTC-0300,100002,,79R9GKyaj4,2019-07-11 17:01:04.279,com.sec.android.app.shealth,2019-07-12 01:23:59.220,120001,31f3d874-3b1a-4cc0-92e1-445dbf57b670,Mashed Potatoes (Whole Milk and Butter Added),237.0,
2.0,bc3d522f-74c1-441a-869c-76cba0aa50bf,2019-07-11 17:02:24.553,UTC-0300,100002,,79R9GKyaj4,2019-07-11 17:01:04.279,com.sec.android.app.shealth,2019-07-12 01:23:59.233,120001,4a44d735-3452-43a8-8a36-ab3f4c881077,Baked or Fried Coated Chicken Wing with Skin,274.0,
1.0,0f04815e-f4db-4b59-b30e-e7376d81900e,2019-07-12 01:22:21.759,UTC-0300,100003,,79R9GKyaj4,2019-07-11 23:19:57.664,com.sec.android.app.shealth,2019-07-12 01:22:21.759,120001,4a00f9e9-413b-4f6d-ae88-88a1e402a4d6,Chicken Piccata(Bertucci's),1070.0,
1.0,d3ceddd7-6fb5-4bf9-a2ca-8055e0b9a5a3,2019-07-12 01:22:21.759,UTC-0300,100003,,79R9GKyaj4,2019-07-11 23:19:57.664,com.sec.android.app.shealth,2019-07-12 01:22:21.759,120001,966da5ff-c63f-4f81-9f52-5d244d5cb842,House Salad,70.0,
1.0,b5e063c5-45ae-4ddd-827c-832b5a4187a6,2019-07-12 01:22:21.759,UTC-0300,100003,,79R9GKyaj4,2019-07-11 23:19:57.664,com.sec.android.app.shealth,2019-07-12 01:22:21.759,120001,ba8d56dc-3ee6-47fb-b1ab-3708e62be224,Hard Cider - Amber(Woodchuck),200.0,
0.5,8af4f936-d28c-4038-9cfb-ca9eae446f1f,2019-07-12 11:39:00.099,UTC-0300,100001,,79R9GKyaj4,2019-07-12 11:37:35.800,com.sec.android.app.shealth,2019-07-12 11:39:00.099,120001,39a58418-a831-4e8d-b399-edff8843c873,Peanut Butter and Banana Sandwich,161.0,
1.5,d94e9d4d-7b8d-47b6-af8f-59c2a98a1075,2019-07-12 11:39:00.100,UTC-0300,100001,,79R9GKyaj4,2019-07-12 11:37:35.800,com.sec.android.app.shealth,2019-07-12 11:39:00.100,120001,57e8e644-89ef-4308-9b37-434457c5c425,Coffee with Milk,9.0,
1.0,fb9ca13d-9b8a-4472-b533-6bdff4e43bae,2019-07-12 23:01:02.411,UTC-0300,100002,,79R9GKyaj4,2019-07-12 16:00:00.000,com.sec.android.app.shealth,2019-07-12 23:01:02.411,120001,69070f24-e5bc-4539-b0ac-c7863f8c2908,Breaded Fried Chicken Fillet Sandwich,323.0,
1.0,6f38a0c4-bcf9-44dd-8c3f-1bfbef0ddec1,2019-07-12 23:01:02.411,UTC-0300,100002,,79R9GKyaj4,2019-07-12 16:00:00.000,com.sec.android.app.shealth,2019-07-12 23:01:02.411,120001,9402b79a-d70c-4c2c-99f7-77fb287f6e5e,Mayonnaise,57.0,
1.0,cdf23359-5c8e-49f2-9ab2-d95566ee753e,2019-07-12 23:01:02.411,UTC-0300,100002,,79R9GKyaj4,2019-07-12 16:00:00.000,com.sec.android.app.shealth,2019-07-12 23:01:02.411,120001,55c6b34e-80dd-49fc-b097-5f75e11552bd,Lemonade,99.0,
1.0,72a6266f-7986-415c-84c8-a553fc7d3236,2019-07-12 23:01:37.313,UTC-0300,100003,,79R9GKyaj4,2019-07-12 23:01:03.985,com.sec.android.app.shealth,2019-07-12 23:01:37.313,120001,87c36602-3c81-4a93-9f5c-f1fa9d2214fb,Chicken Pad Thai(Thai Kitchen),390.0,
1.0,96bcfbfb-a7ec-4319-8653-3305dc5f6325,2019-07-14 13:20:35.744,UTC-0300,100001,,79R9GKyaj4,2019-07-13 12:00:00.000,com.sec.android.app.shealth,2019-07-14 13:20:35.744,120001,1f9a7805-0111-4220-bd34-e3c634599a31,Sweet Rolls Cinnamon Rolls with Icing(Pillsbury),140.0,
1.0,c80b7453-f5e7-43b6-b4da-aeb164615dfe,2019-07-14 13:20:35.745,UTC-0300,100001,,79R9GKyaj4,2019-07-13 12:00:00.000,com.sec.android.app.shealth,2019-07-14 13:20:35.745,120001,26092aae-81c0-4fd1-9b00-19d23e5ca505,Pork Sausage Patty or Link,44.0,
1.0,f783879a-7d88-42d7-b18e-944f1c5ebbab,2019-07-14 13:20:35.745,UTC-0300,100001,,79R9GKyaj4,2019-07-13 12:00:00.000,com.sec.android.app.shealth,2019-07-14 13:20:35.745,120001,5e9e03f7-3119-4f7f-bcc8-6b3d6eb2ba0b,Bacon,27.0,
1.0,5742da0d-84a8-447a-9f0f-b3d383562aa3,2019-07-14 13:20:35.745,UTC-0300,100001,,79R9GKyaj4,2019-07-13 12:00:00.000,com.sec.android.app.shealth,2019-07-14 13:20:35.745,120001,295a5be9-1072-4283-a021-cccb15221f49,Iced Coffee with Cream & Sugar (Medium)(Dunkin' Donuts),180.0,
1.0,5f1a9149-91d1-41fd-97b5-56c5bcb716ca,2019-07-14 13:21:32.897,UTC-0300,100002,,79R9GKyaj4,2019-07-13 16:00:00.000,com.sec.android.app.shealth,2019-07-14 13:21:32.897,120001,76b970f7-64e6-4a54-a1cb-d707f468ca97,"Bacon, Chicken and Tomato Club Sandwich with Lettuce and Spread",549.0,
2.0,4eb8fcd8-a8fb-4cf8-851d-b537cd943447,2019-07-14 13:21:32.897,UTC-0300,100002,,79R9GKyaj4,2019-07-13 16:00:00.000,com.sec.android.app.shealth,2019-07-14 13:21:32.897,120001,4ff3d1b7-1344-447b-b30b-dec4921b1e35,Bud Light Beer(Anheuser-Busch),220.0,
4.0,4eb8fcd8-a8fb-4cf8-851d-b537cd943447,2019-07-14 13:23:41.450,UTC-0300,100003,,79R9GKyaj4,2019-07-13 22:00:00.000,com.sec.android.app.shealth,2019-07-14 13:23:41.450,120001,0535aa60-d575-428d-b103-e2121b769c18,Bud Light Beer(Anheuser-Busch),440.0,
1.0,2196ab7a-b864-41a8-956f-fb1f9ca942ca,2019-07-14 13:23:41.451,UTC-0300,100003,,79R9GKyaj4,2019-07-13 22:00:00.000,com.sec.android.app.shealth,2019-07-14 13:23:41.451,120001,6692e933-6739-47a4-b6df-3a1f6bd0198a,Maine Lobster Tail(Red Lobster),90.0,
6.0,4e88c3ba-3986-4d05-9d66-02eef0e1949e,2019-07-14 13:23:41.451,UTC-0300,100003,,79R9GKyaj4,2019-07-13 22:00:00.000,com.sec.android.app.shealth,2019-07-14 13:23:41.451,120001,0729f8e4-3470-4085-9e8e-b743b6582137,Beef Top Sirloin (Trimmed to 1/8" Fat),342.0,
1.0,3b7d13fd-f9ef-4e16-b886-6d4e20746e21,2019-07-14 13:23:41.451,UTC-0300,100003,,79R9GKyaj4,2019-07-13 22:00:00.000,com.sec.android.app.shealth,2019-07-14 13:23:41.451,120001,358cc4ec-81b8-4cf3-9e9c-dc3430e6fdf6,Baked Potato (Peel Eaten),194.0,
1.0,0ad28529-13fb-41e9-8348-c343bb3d2624,2019-07-14 13:23:41.451,UTC-0300,100003,,79R9GKyaj4,2019-07-13 22:00:00.000,com.sec.android.app.shealth,2019-07-14 13:23:41.451,120001,6cec1741-59b7-467b-8863-46f6f6fd5a60,Caprese Salad(Publix),190.0,
2.0,0f76d8da-4bb5-42f3-8b1b-a3b37b24d7fc,2019-07-14 13:24:23.491,UTC-0300,100006,,79R9GKyaj4,2019-07-14 01:00:00.000,com.sec.android.app.shealth,2019-07-14 13:24:23.491,120001,1a28452f-0b6c-444c-8acc-4a91069e462c,Hot Fudge Sundae,568.0,
1.0,4f123852-dfb2-4f32-855f-be17afca5bca,2019-07-14 13:24:23.491,UTC-0300,100006,,79R9GKyaj4,2019-07-14 01:00:00.000,com.sec.android.app.shealth,2019-07-14 13:24:23.491,120001,a57444af-85ac-4d0c-8eea-346f56e81bf4,Banana,105.0,
1.0,6a1ff8f6-0e1c-4e9e-87a0-04e005cf3881,2019-07-14 13:25:27.186,UTC-0300,100001,,79R9GKyaj4,2019-07-14 13:24:39.303,com.sec.android.app.shealth,2019-07-14 13:25:47.298,120001,a2b360ba-3577-4aec-b146-a07782fa6a82,Iced Coffee with Cream and Sugar,50.0,
1.0,98735431-2b71-41dd-b580-b0d06526dec4,2019-07-14 13:25:27.186,UTC-0300,100001,,79R9GKyaj4,2019-07-14 13:24:39.303,com.sec.android.app.shealth,2019-07-14 13:25:47.313,120001,26799658-e8f9-46ea-8b8a-c3f966f7a7f9,Hash,312.0,
1.0,dfa27b9f-1a49-4149-86c1-9687f699748c,2019-07-14 13:25:27.187,UTC-0300,100001,,79R9GKyaj4,2019-07-14 13:24:39.303,com.sec.android.app.shealth,2019-07-14 13:25:47.326,120001,73ba8606-646d-4871-8aba-1429cca52a8d,Traditional Eggs Benedict with Hashbrowns(Shari's),810.0,
0.5,6551a14c-b0cc-40f1-9370-2143f89af195,2019-07-14 13:25:47.257,UTC-0300,100001,,79R9GKyaj4,2019-07-14 13:24:39.303,com.sec.android.app.shealth,2019-07-14 13:25:47.257,120001,20cc7cc0-4e68-4c8f-9611-fc3fdf371b75,Blueberry Muffins,156.5,
